sku_code,prod_date,start_time,end_time,bottles,headcount
A1040,2025-11-26,08:00:00,09:30:00,4155,
A1040,2025-12-09,08:40:00,13:25:00,5502,
A1040,2026-01-17,07:00:00,10:20:00,5665,
A1040,2026-01-31,10:15:00,12:00:00,2808,
A1040,2026-02-02,08:00:00,10:00:00,3960,
A1040,2026-03-07,07:00:00,10:00:00,5459,
A1040,2026-04-07,13:30:00,17:00:00,3744,
A1040,2026-04-08,08:00:00,09:20:00,2902,
A1040,2026-05-12,08:00:00,10:20:00,5460,
A1040,2026-06-29,08:00:00,11:05:00,5563,
A1040,2026-07-06,11:15:00,14:30:00,4388,
A1040,2026-07-28,10:30:00,14:00:00,5605,
A1040,2026-08-27,13:00:00,15:45:00,5492,5
A1050,2025-10-07,14:30:00,16:05:00,2160,
A1050,2025-10-07,16:05:00,17:00:00,1644,
A1050,2025-10-08,08:00:00,08:20:00,265,
A1050,2025-10-29,11:00:00,13:20:00,2160,
A1050,2025-10-29,13:20:00,13:40:00,490,
A1050,2025-11-26,09:30:00,11:00:00,2160,
A1050,2025-11-26,11:00:00,14:10:00,4740,
A1050,2026-01-05,09:30:00,15:00:00,4320,
A1050,2026-01-05,15:00:00,16:20:00,2558,
A1050,2026-01-30,10:50:00,13:50:00,2160,
A1050,2026-01-30,13:50:00,15:30:00,3331,
A1050,2026-03-07,10:00:00,11:00:00,2160,
A1050,2026-03-07,11:00:00,11:40:00,1951,
A1050,2026-04-23,08:00:00,10:15:00,2160,
A1050,2026-04-23,10:15:00,13:15:00,3266,
A1050,2026-05-16,13:00:00,14:20:00,2663,
A1050,2026-05-20,11:00:00,13:50:00,1356,
A1050,2026-05-21,08:00:00,08:35:00,804,
A1050,2026-05-21,08:45:00,09:00:00,445,
A1050,2026-06-02,08:45:00,13:20:00,4320,
A1050,2026-06-02,13:20:00,13:50:00,927,
A1050,2026-06-29,11:05:00,12:00:00,1080,
A1050,2026-06-29,13:00:00,13:45:00,860,
A1050,2026-08-10,08:00:00,09:15:00,2160,5
A1050,2026-08-10,09:15:00,10:05:00,1872,5
A1050,2026-08-27,08:00:00,10:30:00,2160,6
A1050,2026-08-27,10:30:00,12:00:00,1922,6
A2020,2025-10-04,10:00:00,12:00:00,3120,
A2020,2025-10-08,09:40:00,17:00:00,10517,
A2020,2025-11-12,15:30:00,17:00:00,3120,
A2020,2025-11-13,13:00:00,14:25:00,3410,
A2020,2025-11-21,15:30:00,18:00:00,7800,
A2020,2025-11-24,13:00:00,14:00:00,1983,
A2020,2025-12-10,09:00:00,13:25:00,8760,
A2020,2026-01-12,08:00:00,14:40:00,10238,
A2020,2026-01-26,14:20:00,17:00:00,2004,
A2020,2026-01-29,18:00:00,20:30:00,4680,
A2020,2026-01-30,15:30:00,17:00:00,3525,
A2020,2026-02-09,09:30:00,14:25:00,6336,
A2020,2026-04-07,08:00:00,10:30:00,6094,
A2020,2026-04-23,09:00:00,11:05:00,5997,
A2020,2026-05-11,14:50:00,16:00:00,1092,
A2020,2026-05-12,10:20:00,13:40:00,6485,
A2020,2026-05-27,10:00:00,16:45:00,11028,
A2020,2026-06-24,09:00:00,16:20:00,7689,
A2020,2026-07-09,13:50:00,17:00:00,7152,
A2020,2026-07-13,11:15:00,11:30:00,414,
A2020,2026-07-23,13:55:00,17:00:00,6240,
A2020,2026-07-27,08:30:00,09:15:00,1146,
A2020,2026-08-06,09:00:00,15:00:00,7519,4
A2020,2026-08-21,10:00:00,16:40:00,4680,5
A2020,2026-08-24,08:00:00,13:30:00,7729,4
A2020-1,2026-01-12,14:40:00,15:00:00,366,
A2020-1,2026-01-31,08:45:00,10:00:00,3442,
A2020-1,2026-02-12,08:20:00,10:50:00,6213,
A2040,2025-10-14,09:20:00,12:00:00,4032,
A2040,2025-10-15,13:00:00,14:30:00,3210,
A2040,2025-11-12,13:00:00,15:30:00,5368,
A2040,2025-11-28,13:00:00,15:00:00,3022,
A2040,2025-12-15,15:00:00,16:30:00,1200,
A2040,2025-12-16,14:20:00,16:40:00,4566,
A2040,2025-12-24,10:15:00,13:50:00,2169,
A2040,2026-01-16,14:50:00,17:00:00,3528,
A2040,2026-02-05,08:10:00,10:55:00,7233,
A2040,2026-03-12,11:10:00,15:10:00,5629,
A2040,2026-03-20,14:15:00,15:15:00,2390,
A2040,2026-04-20,13:40:00,16:50:00,6048,
A2040,2026-04-21,11:00:00,12:00:00,1187,
A2040,2026-05-11,14:10:00,14:50:00,1817,
A2040,2026-05-16,09:00:00,10:10:00,2986,
A2040,2026-06-11,09:00:00,14:35:00,4349,
A2040,2026-06-23,10:00:00,10:50:00,497,
A2040,2026-07-09,11:00:00,13:35:00,4220,
A2040,2026-07-22,14:00:00,15:00:00,2142,
A2040,2026-08-05,14:45:00,15:00:00,299,4
A2040,2026-08-14,13:50:00,16:00:00,5099,4
A2040-1,2026-01-20,08:00:00,09:00:00,1210,
A2050,2025-10-20,15:35:00,17:00:00,3024,
A2050,2025-10-21,13:40:00,14:30:00,1369,
A2050,2025-11-24,14:00:00,15:30:00,1980,
A2050,2025-12-01,13:00:00,13:40:00,413,
A2050,2025-12-17,10:30:00,13:20:00,4318,
A2050,2026-01-12,15:40:00,16:00:00,372,
A2050,2026-01-20,09:00:00,09:55:00,1681,
A2050,2026-01-20,15:20:00,17:00:00,3246,
A2050,2026-03-05,09:10:00,13:20:00,218,
A2050,2026-03-20,13:20:00,14:15:00,2455,
A2050,2026-04-20,08:00:00,13:40:00,5922,
A2050,2026-05-16,08:40:00,09:00:00,832,
A2050,2026-06-25,14:05:00,14:15:00,359,
A2050,2026-07-15,16:40:00,18:00:00,2784,
A2050,2026-07-16,08:00:00,08:50:00,1593,
A2050,2026-07-22,15:00:00,16:15:00,2095,
A2050,2026-08-14,16:00:00,17:00:00,1993,4
A2060,2025-10-01,13:45:00,17:00:00,5616,
A2060,2025-10-04,07:00:00,10:00:00,7927,
A2060,2025-10-31,16:15:00,17:00:00,1560,
A2060,2025-11-04,10:40:00,16:00:00,11507,
A2060,2025-11-24,16:00:00,17:00:00,2184,
A2060,2025-11-25,13:00:00,17:00:00,10754,
A2060,2025-12-17,13:20:00,14:40:00,3561,
A2060,2025-12-23,11:20:00,17:00:00,12922,
A2060,2026-01-12,15:15:00,15:35:00,1020,
A2060,2026-01-22,13:00:00,18:30:00,8736,
A2060,2026-01-23,14:00:00,16:20:00,5613,
A2060,2026-03-04,08:00:00,11:10:00,7363,
A2060,2026-03-05,13:20:00,14:40:00,2184,
A2060,2026-03-07,07:00:00,12:00:00,7891,
A2060,2026-03-25,08:50:00,17:00:00,13572,
A2060,2026-03-26,08:00:00,08:30:00,735,
A2060,2026-05-06,13:00:00,15:45:00,5826,
A2060,2026-05-16,10:10:00,12:00:00,4317,
A2060,2026-06-02,09:30:00,16:45:00,11339,
A2060,2026-06-25,14:15:00,17:00:00,6552,
A2060,2026-06-29,13:45:00,15:10:00,3833,
A2060,2026-07-16,08:50:00,09:45:00,1416,
A2060,2026-07-17,08:00:00,10:20:00,3696,
A2060,2026-07-20,13:00:00,15:40:00,3516,
A2060,2026-08-05,10:25:00,14:45:00,7892,4
A2060,2026-08-26,13:00:00,17:00:00,8736,5
A2060,2026-08-28,08:40:00,11:20:00,4257,4
A3010,2025-10-20,10:45:00,15:35:00,9473,
A3010,2025-10-27,08:00:00,13:50:00,9389,
A3010,2025-11-19,13:00:00,16:10:00,6892,
A3010,2025-11-22,07:40:00,13:40:00,9428,
A3010,2025-12-01,08:00:00,14:10:00,9380,
A3010,2026-01-07,09:00:00,13:40:00,9591,
A3010,2026-01-21,10:40:00,13:40:00,1512,
A3010,2026-01-22,09:40:00,16:30:00,7960,
A3010,2026-01-23,08:00:00,14:00:00,9388,
A3010,2026-03-03,10:05:00,16:30:00,6048,
A3010,2026-03-04,13:00:00,13:30:00,3152,
A3010,2026-03-17,09:50:00,14:50:00,11449,
A3010,2026-04-01,08:40:00,12:00:00,6756,
A3010,2026-04-29,08:00:00,10:30:00,4531,
A3010,2026-05-09,11:15:00,16:00:00,4224,
A3010,2026-05-11,08:00:00,17:00:00,5125,
A3010,2026-05-21,13:30:00,17:00:00,4692,
A3010,2026-05-22,08:00:00,13:30:00,6849,
A3010,2026-06-16,08:00:00,17:00:00,3756,
A3010,2026-06-17,08:00:00,10:30:00,5653,
A3010,2026-07-16,09:45:00,16:20:00,11374,
A3010,2026-08-04,08:00:00,14:10:00,9472,6
A3010,2026-08-12,08:00:00,14:15:00,9670,5
A3010,2026-08-31,08:00:00,17:00:00,6048,6
A3012,2025-10-07,11:45:00,14:30:00,2855,
A3012,2026-01-07,13:40:00,15:20:00,2159,
A3012,2026-03-23,13:40:00,14:50:00,2219,
A3012,2026-06-24,10:00:00,12:00:00,1607,
B1011,2025-10-01,17:00:00,18:00:00,672,
B1011,2025-10-02,08:00:00,10:20:00,2706,
B1011,2025-10-03,17:00:00,18:30:00,1680,
B1011,2025-10-04,07:00:00,08:35:00,1714,
B1011,2025-10-16,08:00:00,10:30:00,3392,
B1011,2025-10-18,07:00:00,09:45:00,3480,
B1011,2025-10-21,14:30:00,18:00:00,3469,
B1011,2025-11-03,11:10:00,15:00:00,3486,
B1011,2025-11-06,08:00:00,11:00:00,2808,
B1011,2025-11-07,10:00:00,12:00:00,470,
B1011,2025-11-17,16:30:00,18:00:00,1525,
B1011,2025-11-19,17:20:00,19:30:00,1506,
B1011,2025-11-26,17:00:00,20:30:00,2688,
B1011,2025-11-27,09:00:00,09:30:00,552,
B1011,2025-11-29,08:10:00,11:20:00,3283,
B1011,2025-12-08,13:00:00,17:00:00,3496,
B1011,2025-12-10,10:00:00,14:45:00,3439,
B1011,2025-12-12,13:20:00,15:25:00,1712,
B1011,2025-12-22,13:00:00,15:55:00,3450,
B1011,2026-01-02,08:05:00,09:40:00,1759,
B1011,2026-01-07,15:20:00,19:05:00,3446,
B1011,2026-01-15,11:35:00,14:05:00,1680,
B1011,2026-01-19,09:00:00,13:10:00,3385,
B1011,2026-01-21,19:15:00,20:30:00,1344,
B1011,2026-01-22,08:00:00,09:40:00,1655,
B1011,2026-01-27,17:50:00,20:30:00,2016,
B1011,2026-01-28,08:30:00,09:55:00,1412,
B1011,2026-02-02,08:00:00,10:00:00,3960,
B1011,2026-02-03,09:45:00,14:40:00,3368,
B1011,2026-02-05,13:55:00,16:50:00,3379,
B1011,2026-02-09,14:25:00,17:00:00,3198,
B1011,2026-02-10,07:00:00,07:20:00,146,
B1011,2026-02-13,09:20:00,14:00:00,3334,
B1011,2026-02-24,10:00:00,14:40:00,3341,
B1011,2026-03-03,16:30:00,20:30:00,2016,
B1011,2026-03-04,13:40:00,14:30:00,1318,
B1011,2026-03-14,10:30:00,12:00:00,1344,
B1011,2026-03-16,10:20:00,13:10:00,2024,
B1011,2026-03-18,08:00:00,09:15:00,1258,
B1011,2026-03-19,15:20:00,20:30:00,2016,
B1011,2026-03-20,08:00:00,08:40:00,934,
B1011,2026-03-26,14:30:00,19:30:00,3326,
B1011,2026-03-30,17:00:00,20:30:00,2688,
B1011,2026-03-31,08:00:00,09:00:00,637,
B1011,2026-04-01,18:00:00,19:35:00,1656,
B1011,2026-04-08,15:00:00,19:40:00,3345,
B1011,2026-04-14,17:00:00,20:20:00,2793,
B1011,2026-04-17,16:05:00,20:15:00,2773,
B1011,2026-04-21,18:30:00,20:30:00,2106,
B1011,2026-04-22,08:00:00,09:10:00,1266,
B1011,2026-04-27,11:00:00,17:00:00,2688,
B1011,2026-04-28,08:00:00,08:20:00,700,
B1011,2026-05-05,15:30:00,18:30:00,3154,
B1011,2026-05-11,11:20:00,15:30:00,3138,
B1011,2026-05-15,14:50:00,16:55:00,3124,
B1011,2026-05-19,13:20:00,16:15:00,3148,
B1011,2026-05-26,14:00:00,16:30:00,3149,
B1011,2026-06-02,13:50:00,17:30:00,3144,
B1011,2026-06-08,10:30:00,13:50:00,1831,
B1011,2026-06-15,11:20:00,16:50:00,3233,
B1011,2026-07-01,13:00:00,15:40:00,1514,
B1011,2026-07-03,15:40:00,18:00:00,3246,
B1011,2026-07-08,10:00:00,14:25:00,3166,
B1011,2026-07-17,17:00:00,19:35:00,2030,
B1011,2026-07-21,13:00:00,16:30:00,3181,
B1011,2026-07-28,14:00:00,16:55:00,3169,
B1011,2026-08-01,08:30:00,09:50:00,1662,6
B1011,2026-08-06,16:45:00,18:15:00,1008,4
B1011,2026-08-07,08:00:00,10:00:00,2016,5
B1011,2026-08-10,13:40:00,15:45:00,2413,5
B1011,2026-08-13,15:00:00,18:00:00,2518,9
B1011,2026-08-14,08:00:00,09:00:00,1293,6
B1011,2026-08-20,18:55:00,20:30:00,1344,6
B1011,2026-08-21,08:00:00,10:00:00,2752,5
B1011,2026-08-24,16:20:00,20:30:00,2352,6
B1011,2026-08-25,08:00:00,17:00:00,4068,6
B1011,2026-08-31,11:15:00,15:50:00,3329,5
B1031,2026-01-21,18:30:00,19:15:00,350,
B1031,2026-03-19,14:30:00,15:20:00,347,
B1040,2025-10-17,13:35:00,15:00:00,2680,
B1040,2025-10-31,11:00:00,16:15:00,6645,
B1040,2025-11-27,07:30:00,11:10:00,3306,
B1040,2025-12-11,08:00:00,09:45:00,3280,
B1040,2025-12-31,16:50:00,18:00:00,2091,
B1040,2026-01-14,14:00:00,15:50:00,3226,
B1040,2026-01-23,16:20:00,20:30:00,3193,
B1040,2026-01-29,16:05:00,20:30:00,5376,
B1040,2026-01-30,08:00:00,08:30:00,1186,
B1040,2026-03-04,16:25:00,18:00:00,3176,
B1040,2026-03-24,09:00:00,16:40:00,6419,
B1040,2026-04-23,13:30:00,17:00:00,5904,
B1040,2026-05-07,18:35:00,20:30:00,2472,
B1040,2026-05-08,08:00:00,08:30:00,699,
B1040,2026-05-28,09:30:00,13:30:00,5187,
B1040,2026-06-25,09:00:00,10:10:00,2593,
B1040,2026-07-15,13:55:00,16:40:00,4495,
B1040,2026-07-31,14:20:00,15:40:00,912,
B1040,2026-08-01,07:00:00,08:20:00,2314,6
B1040,2026-08-20,15:10:00,18:50:00,5193,8
B2011,2025-10-08,20:00:00,20:30:00,288,
B2011,2025-10-09,08:00:00,18:05:00,2933,
B2011,2025-10-09,18:05:00,18:25:00,336,
B2011,2025-10-11,07:00:00,08:15:00,1138,
B2011,2025-10-16,16:50:00,18:30:00,1680,
B2011,2025-10-17,08:30:00,09:40:00,1218,
B2011,2025-10-20,09:30:00,13:55:00,3213,
B2011,2025-10-22,09:00:00,11:10:00,2281,
B2011,2025-10-25,07:30:00,09:40:00,2675,
B2011,2025-10-29,17:00:00,18:30:00,1344,
B2011,2025-10-30,08:00:00,08:35:00,847,
B2011,2025-10-30,17:00:00,18:30:00,1344,
B2011,2025-10-31,08:00:00,09:40:00,1329,
B2011,2025-11-04,10:40:00,13:25:00,1131,
B2011,2025-11-05,10:05:00,15:25:00,2689,
B2011,2025-11-06,11:00:00,15:10:00,2713,
B2011,2025-11-19,11:30:00,13:10:00,579,
B2011,2025-11-19,13:10:00,17:20:00,2417,
B2011,2025-11-21,18:30:00,20:00:00,1484,
B2011,2025-11-28,17:00:00,19:35:00,1936,
B2011,2025-12-02,09:20:00,11:30:00,2717,
B2011,2025-12-04,08:40:00,11:15:00,2747,
B2011,2025-12-08,08:30:00,11:40:00,2924,
B2011,2025-12-09,13:00:00,13:55:00,881,
B2011,2025-12-11,09:45:00,13:50:00,3068,
B2011,2025-12-16,08:00:00,09:50:00,1480,
B2011,2025-12-17,08:45:00,10:30:00,1670,
B2011,2025-12-19,17:30:00,19:15:00,1294,
B2011,2025-12-19,19:15:00,20:30:00,1008,
B2011,2025-12-22,08:00:00,09:10:00,1257,
B2011,2025-12-30,10:55:00,12:00:00,969,
B2011,2026-01-02,14:40:00,15:00:00,430,
B2011,2026-01-05,19:10:00,20:30:00,1008,
B2011,2026-01-06,16:35:00,18:00:00,1901,
B2011,2026-01-06,18:30:00,20:30:00,1680,
B2011,2026-01-07,08:00:00,09:10:00,1211,
B2011,2026-01-13,11:50:00,14:00:00,1115,
B2011,2026-01-15,08:00:00,11:35:00,3271,
B2011,2026-01-16,17:00:00,20:30:00,3097,
B2011,2026-01-22,18:30:00,20:15:00,2848,
B2011,2026-01-28,16:30:00,17:30:00,1085,
B2011,2026-01-28,17:35:00,20:30:00,2542,
B2011,2026-02-02,16:50:00,18:30:00,1680,
B2011,2026-02-03,08:00:00,08:40:00,706,
B2011,2026-02-03,17:00:00,20:30:00,1008,
B2011,2026-02-04,08:00:00,09:25:00,1549,
B2011,2026-02-06,15:30:00,18:00:00,3176,
B2011,2026-02-10,16:30:00,20:00:00,3347,
B2011,2026-02-11,16:00:00,19:50:00,3270,
B2011,2026-02-11,19:00:00,20:30:00,1680,
B2011,2026-02-12,08:00:00,08:20:00,523,
B2011,2026-02-26,08:50:00,10:30:00,1587,
B2011,2026-03-02,08:00:00,10:00:00,1601,
B2011,2026-03-06,08:00:00,09:15:00,1220,
B2011,2026-03-07,13:00:00,15:10:00,3230,
B2011,2026-03-10,08:00:00,11:15:00,3213,
B2011,2026-03-13,17:30:00,20:30:00,2688,
B2011,2026-03-14,07:00:00,07:35:00,493,
B2011,2026-03-17,14:50:00,19:30:00,3213,
B2011,2026-03-21,07:00:00,09:45:00,2508,
B2011,2026-03-26,08:30:00,11:20:00,2362,
B2011,2026-03-26,11:20:00,14:30:00,2666,
B2011,2026-03-27,09:40:00,14:00:00,2668,
B2011,2026-03-28,09:00:00,12:00:00,2676,
B2011,2026-04-01,08:00:00,08:30:00,604,
B2011,2026-04-08,10:40:00,14:20:00,2780,
B2011,2026-04-10,18:30:00,20:30:00,2016,
B2011,2026-04-13,08:55:00,10:40:00,1040,
B2011,2026-04-15,08:00:00,11:00:00,2846,
B2011,2026-04-16,18:00:00,20:00:00,2016,
B2011,2026-04-17,08:00:00,08:55:00,1186,
B2011,2026-04-17,08:55:00,11:45:00,2604,
B2011,2026-04-22,17:30:00,18:50:00,1433,
B2011,2026-04-23,18:00:00,20:30:00,2872,
B2011,2026-04-24,13:00:00,15:35:00,3031,
B2011,2026-04-27,08:00:00,10:50:00,3029,
B2011,2026-04-30,16:10:00,17:00:00,672,
B2011,2026-05-04,08:00:00,09:05:00,1985,
B2011,2026-05-06,15:50:00,18:30:00,2352,
B2011,2026-05-07,08:30:00,08:50:00,410,
B2011,2026-05-07,14:40:00,18:30:00,2782,
B2011,2026-05-09,10:15:00,13:50:00,2591,
B2011,2026-05-11,17:50:00,20:15:00,1882,
B2011,2026-05-19,09:40:00,12:00:00,2359,
B2011,2026-05-20,10:25:00,14:10:00,1066,
B2011,2026-05-22,14:00:00,14:40:00,1280,
B2011,2026-05-25,14:30:00,15:40:00,1035,
B2011,2026-06-04,14:45:00,17:00:00,1771,
B2011,2026-06-05,15:25:00,17:00:00,1680,
B2011,2026-06-08,08:00:00,08:30:00,480,
B2011,2026-06-09,08:00:00,11:15:00,2742,
B2011,2026-06-10,13:00:00,14:20:00,684,
B2011,2026-06-12,14:50:00,16:30:00,2595,
B2011,2026-06-16,13:30:00,16:20:00,2289,
B2011,2026-06-30,08:50:00,09:10:00,258,
B2011,2026-07-02,13:40:00,17:00:00,2268,
B2011,2026-07-06,14:30:00,17:00:00,2238,
B2011,2026-07-07,08:00:00,08:15:00,339,
B2011,2026-07-08,14:25:00,17:00:00,2028,
B2011,2026-07-09,08:00:00,08:30:00,455,
B2011,2026-07-14,08:00:00,09:30:00,1410,
B2011,2026-07-15,10:10:00,13:55:00,2656,
B2011,2026-07-16,08:50:00,09:45:00,691,
B2011,2026-07-17,13:00:00,15:55:00,2667,
B2011,2026-07-22,08:00:00,17:50:00,2592,
B2011,2026-07-24,13:30:00,18:00:00,2016,
B2011,2026-07-25,07:00:00,08:05:00,1021,
B2011,2026-07-27,13:00:00,14:50:00,1772,
B2011,2026-07-29,15:10:00,17:00:00,1795,
B2011,2026-07-30,15:50:00,19:55:00,3215,
B2011,2026-08-01,10:45:00,13:40:00,2771,3
B2011,2026-08-05,16:15:00,17:45:00,1450,5
B2011,2026-08-06,08:00:00,11:00:00,3200,3
B2011,2026-08-08,07:50:00,10:50:00,2676,4
B2011,2026-08-11,08:00:00,11:05:00,2669,3
B2011,2026-08-12,16:00:00,17:00:00,1836,4
B2011,2026-08-12,17:00:00,18:00:00,492,2
B2011,2026-08-13,10:55:00,11:05:00,334,3
B2011,2026-08-13,11:10:00,14:25:00,2674,5
B2011,2026-08-15,10:30:00,12:00:00,1008,3
B2011,2026-08-17,08:00:00,08:15:00,216,3
B2011,2026-08-21,10:00:00,11:35:00,1603,3
B2011,2026-08-25,08:50:00,11:20:00,2687,3
B2011,2026-08-26,08:00:00,10:50:00,2691,3
B2011,2026-08-29,09:15:00,12:00:00,2686,3
B2021,2025-10-13,16:00:00,18:30:00,2994,
B2021,2025-10-14,08:00:00,08:10:00,178,
B2021,2025-10-20,15:35:00,17:00:00,942,
B2021,2025-10-21,08:00:00,09:40:00,2221,
B2021,2025-10-27,15:00:00,18:10:00,2567,
B2021,2025-11-17,11:30:00,14:10:00,1999,
B2021,2025-11-22,13:40:00,16:00:00,2016,
B2021,2025-11-24,08:00:00,08:50:00,618,
B2021,2025-11-28,19:40:00,20:30:00,900,
B2021,2025-11-29,07:00:00,08:10:00,1211,
B2021,2025-12-22,09:10:00,10:50:00,1396,
B2021,2026-01-02,15:40:00,16:00:00,546,
B2021,2026-01-05,16:20:00,19:10:00,2174,
B2021,2026-01-13,11:10:00,11:50:00,649,
B2021,2026-02-03,14:40:00,17:00:00,2443,
B2021,2026-02-23,17:20:00,18:30:00,1008,
B2021,2026-02-24,08:00:00,20:30:00,592,
B2021,2026-03-06,09:25:00,14:10:00,3070,
B2021,2026-03-12,08:00:00,11:10:00,2505,
B2021,2026-03-23,13:40:00,16:40:00,2987,
B2021,2026-03-31,18:30:00,20:30:00,2016,
B2021,2026-04-07,17:30:00,20:30:00,2688,
B2021,2026-04-08,07:00:00,07:30:00,450,
B2021,2026-04-14,08:00:00,09:10:00,1373,
B2021,2026-04-20,19:00:00,20:30:00,1008,
B2021,2026-04-21,16:25:00,17:50:00,1568,
B2021,2026-05-04,08:00:00,09:00:00,1228,
B2021,2026-06-30,09:10:00,09:55:00,615,
B2021,2026-07-09,16:00:00,19:00:00,870,
B2021,2026-07-13,08:00:00,18:00:00,1752,
B2021,2026-07-20,13:25:00,15:50:00,2621,
B2021,2026-08-04,08:00:00,11:30:00,2627,3
B2021,2026-08-19,08:00:00,10:30:00,2977,3
B2021,2026-08-28,08:00:00,10:45:00,2332,3
B2021-1,2026-04-21,17:50:00,18:15:00,161,
B2021-1,2026-05-09,13:50:00,14:15:00,172,
B2021-1,2026-05-16,08:00:00,10:15:00,2643,
B2021-1,2026-05-22,14:45:00,16:00:00,1280,
B2021-1,2026-05-25,08:45:00,11:20:00,2707,
B2031,2025-11-03,15:00:00,16:35:00,3097,
B2031,2025-11-27,18:30:00,20:25:00,3269,
B2031,2025-12-12,16:00:00,17:00:00,672,
B2031,2025-12-15,08:00:00,10:35:00,2461,
B2031,2026-01-17,07:00:00,09:40:00,3223,
B2031,2026-02-23,10:00:00,14:30:00,3149,
B2031,2026-03-18,18:00:00,20:30:00,2517,
B2031,2026-04-02,18:30:00,20:30:00,2688,
B2031,2026-04-07,10:30:00,12:00:00,417,
B2031,2026-04-28,16:00:00,17:00:00,1344,
B2031,2026-04-29,14:50:00,16:15:00,1980,
B2031,2026-05-28,14:30:00,16:30:00,3161,
B2031,2026-07-14,13:30:00,18:00:00,1824,
B2031,2026-07-15,08:00:00,09:05:00,1292,
B2031,2026-08-17,16:40:00,18:30:00,2688,7
B2031,2026-08-18,08:00:00,08:30:00,439,5
B2041,2025-10-17,15:00:00,17:30:00,3686,
B2041,2025-12-22,17:00:00,18:30:00,1344,
B2041,2025-12-24,08:00:00,08:45:00,1102,
B2041,2026-02-23,14:30:00,17:20:00,3149,
B2041,2026-04-14,09:10:00,11:30:00,3066,
B3011,2025-10-09,09:20:00,13:10:00,3444,
B3011,2025-10-23,17:00:00,20:30:00,3024,
B3011,2025-10-25,07:00:00,07:30:00,411,
B3011,2025-11-17,14:10:00,16:30:00,1491,
