code,name,unit_weight_kg,units_per_record,container
D0191-2,蘋果餡(1*6Kg),6.0,1,PE袋
D0195-1,檸檬餡(1*6Kg),6.0,1,PE袋
D0210,草莓醬(1*6kg),6.0,1,PE袋
D0230,藍莓醬(1*6kg),6.0,1,PE袋
D0231,藍莓顆粒果醬(1*6kg),6.0,1,PE袋
D0241,水蜜桃醬(1*6kg),6.0,1,PE袋
D0243,芒果蜜桃醬(含桃丁)(1*6kg),6.0,1,PE袋
D0250,葡萄奇異果醬(1*6kg),6.0,1,PE袋
D0290,鳳梨芒果百香果醬(1*6KG),6.0,1,PE袋
D0291,蔓越莓醬(1*6KG),6.0,1,PE袋
D0310,草莓蒟蒻餡(1*6kg),6.0,1,PE袋
D0330,藍莓餡(1*6KG),6.0,1,PE袋
D0331,藍莓餡(1*6KG),6.0,1,PE袋
D0390,化應子(1*2.5KG),2.5,1,袋裝
D0420,花生醬(1*18KG),6.0,3,PE袋
D0422,深烤焙花生醬(1*18KG),6.0,3,PE袋
D0520,花生醬(1*290g),0.29,1,玻璃瓶
D0521,無加糖花生醬(1*290g),0.29,1,玻璃瓶
D0530,藍莓果醬(1*210G),0.21,1,玻璃瓶
D0591,桑椹果醬(1*190g),0.19,1,玻璃瓶
D0592,桑椹果粒茶(1*400G),0.4,1,玻璃瓶
D0593,文旦柚茶(1*420g),0.42,1,玻璃瓶
D0594,柚皮鮮果乾(100g),0.1,1,玻璃瓶
D0610,草莓餡50°(1*6Kg),6.0,1,PE袋
D0630,藍莓餡(1*6KG),6.0,1,PE袋
D0730,藍莓果茶(1*420g),0.42,1,玻璃瓶
D0731,藍莓果漿(1*350g),0.35,1,玻璃瓶
D0732,藍莓寡糖果醬(1*200G),0.2,1,玻璃瓶
D0790,奇異果茶(1*420g),0.42,1,玻璃瓶
D0810,草莓餡(1*4.5Kg),4.5,1,白桶
D0820,花生醬(1*3.5KG),3.5,1,白桶
D0820-1,花生醬(1*3.5KG),3.5,1,白桶
D0910,耐烤草莓餡(1*4.5KG),4.5,1,白桶
D0990,玫瑰洛神餡(1*4.5KG),4.5,1,白桶
D0991,文旦丁(1*1kg),1.0,1,袋裝
D0992,文旦絲(1*1KG/包),1.0,1,袋裝
D1010,草莓椰果漿(1*6KG),6.0,1,PE袋
D1130,藍莓餡(1*6kg),6.0,1,PE袋
D1211,草莓餡(1*4.5kg),4.5,1,白桶
D1390,蘋果寡糖果醬(260G),0.26,1,玻璃瓶
D1410-1,草莓餡°(1*6KG),6.0,1,PE袋
D1520,花生醬(1*290g),0.29,1,玻璃瓶
D1521,花生醬(粒)(1*290g),0.29,1,玻璃瓶
D1620,顆粒花生醬(1*8kg),8.0,1,PE袋
D2010,美芝城草莓醬(1*9kg),9.0,1,白桶
D2021,美芝城花生醬(1*2.8kg),2.8,1,白桶
D2212,草莓餡(1*6KG),6.0,1,PE袋
D2330,蘋果藍莓餡(1*9.08kg),9.08,1,白桶
D2531,特殊藍莓餡(1*9.08kg),9.08,1,白桶
D2712,草莓果醬(1*6KG),6.0,1,PE袋
D2820,顆粒花生醬(1*12KG),12.0,1,PE袋
D9950,紅棗醬(1*210G),0.21,1,玻璃瓶
Z0001,柑橘果醬(1*220G),0.22,1,玻璃瓶
Z0002,柑橘果醬(1*6Kg),6.0,1,PE袋
Z1001,桔光抹醬(1*190g),0.19,1,玻璃瓶
Z2001,藍莓果醬(1*6kg),6.0,1,PE袋
Z3001,鳳梨果茶醬(1*210G),0.21,1,玻璃瓶
E0120,佳樂美細花(1*340g),0.34,1,玻璃瓶
E0121,佳樂美花生醬(粒)(1*340g),0.34,1,玻璃瓶
F0010,蜜桔皮(1*1kg),1.0,1,袋裝
F0020,蜜餞水果(1*1kg),1.0,1,袋裝
